fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.367805,0.0,0.365108,0.241667,0.389065,504.0
1,0.135708,0.002803,0.141838,0.735785,0.778795,483.0
2,0.162104,0.000373,0.149854,0.573475,0.65553,478.0
3,0.144399,0.003715,0.150181,0.821572,0.822878,402.0
4,0.069356,0.132014,0.098683,0.953599,0.908509,473.0
Mean,0.175874,0.027781,0.181133,0.66522,0.710955,468.0
