fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.792633,0.0,0.791988,0.121292,0.262439,2693.0
1,0.605326,0.0,0.612865,0.219594,0.391223,2672.0
2,0.666894,0.0,0.679631,0.191046,0.356211,2585.0
3,0.655844,0.0,0.65552,0.196251,0.364606,2004.0
4,0.598381,0.0,0.603098,0.2472,0.4253,2426.0
Mean,0.663816,0.0,0.66862,0.195077,0.359956,2476.0
