Lipid_name,Num_tails,MolWt
1-a3-6b,3,591.8340000000002
1-a3-7b,3,633.9150000000002
1-a3-7b2,3,633.9150000000002
1-a3-8b,3,675.9960000000001
1-a3-9b2,3,718.077
2-a3-6b,3,619.8880000000003
2-a3-7b,3,661.9690000000002
2-a3-7b2,3,661.9690000000002
2-a3-8b,3,704.0500000000001
2-a3-9b2,3,746.1309999999999
3-a3-6b,3,646.9140000000002
3-a3-7b,3,688.9950000000001
3-a3-7b2,3,688.9950000000001
3-a3-8b,3,731.0759999999999
3-a3-9b2,3,773.1569999999997
4-a3-6b,3,674.9680000000002
4-a3-7b,3,717.049
4-a3-7b2,3,717.049
4-a3-8b,3,759.1299999999998
4-a3-9b2,3,801.2109999999996
5-a3-6b,3,562.7920000000003
5-a3-7b,3,604.8730000000002
5-a3-7b2,3,604.8730000000002
5-a3-8b,3,646.9540000000001
5-a3-9b2,3,689.035
6-a3-6b,3,576.8190000000002
6-a3-7b,3,618.9000000000002
6-a3-7b2,3,618.9000000000002
6-a3-8b,3,660.9810000000001
6-a3-9b2,3,703.062
7-a3-6b,3,590.8460000000002
7-a3-7b,3,632.9270000000001
7-a3-7b2,3,632.9270000000001
7-a3-8b,3,675.008
7-a3-9b2,3,717.089
8-a3-6b,3,604.8730000000003
8-a3-7b,3,646.9540000000002
8-a3-7b2,3,646.9540000000002
8-a3-8b,3,689.0350000000001
8-a3-9b2,3,731.116
9-a3-6b,3,617.8720000000002
9-a3-7b,3,659.9530000000002
9-a3-7b2,3,659.9530000000002
9-a3-8b,3,702.034
9-a3-9b2,3,744.1149999999999
10-a3-6b,3,631.8990000000002
10-a3-7b,3,673.9800000000002
10-a3-7b2,3,673.9800000000002
10-a3-8b,3,716.0609999999999
10-a3-9b2,3,758.1419999999998
11-a3-6b,3,548.7650000000004
11-a3-7b,3,590.8460000000002
11-a3-7b2,3,590.8460000000002
11-a3-8b,3,632.9270000000001
11-a3-9b2,3,675.008
12-a3-6b,3,620.8760000000002
12-a3-7b,3,662.9570000000002
12-a3-7b2,3,662.9570000000002
12-a3-8b,3,705.038
12-a3-9b2,3,747.1189999999998
