fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.320561,0.0,0.32307,0.182728,0.327957,284.0
1,0.377716,0.0,0.370319,0.130123,0.266689,268.0
2,0.329043,0.0,0.346529,0.141406,0.281496,280.0
3,0.278969,2e-06,0.299086,0.162662,0.301485,283.0
4,0.27051,4e-06,0.279317,0.195337,0.343639,281.0
Mean,0.31536,1e-06,0.323664,0.162451,0.304253,279.2
