fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.710166,0.0,0.511851,0.348358,0.50985,190.0
1,0.792143,0.0,0.630861,0.203649,0.37424,194.0
2,0.779342,0.0,0.618619,0.235091,0.417357,191.0
3,0.780963,0.0,0.635481,0.255245,0.434692,192.0
4,0.760324,0.0,0.538207,0.303934,0.47592,201.0
Mean,0.764588,0.0,0.587004,0.269255,0.442412,193.6
