fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.870342,0.677431,0.0,0.561953,0.445579,0.00363,0.037493,912
1,0.856231,0.641428,0.0,0.554672,0.442068,0.003742,0.038381,904
2,0.907176,0.74998,0.0,0.586948,0.463809,0.002755,0.036637,907
3,0.877192,0.695938,0.0,0.57625,0.453471,0.003454,0.037369,912
4,0.880753,0.706753,0.0,0.565909,0.453949,0.002919,0.034331,917
