fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.747824,0.0,0.745591,0.143635,0.303333,2693.0
1,0.554929,0.0,0.546778,0.243306,0.432242,2672.0
2,0.749572,0.0,0.755355,0.150416,0.315018,2585.0
3,0.795629,0.0,0.788514,0.120218,0.277887,2004.0
4,0.554314,0.0,0.555739,0.242445,0.430639,2426.0
Mean,0.680454,0.0,0.678395,0.180004,0.351824,2476.0
