fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.79744,0.0,0.696851,0.504864,0.570694,474.0
1,0.619049,0.0,0.482566,1.876096,1.258803,512.0
2,0.795264,0.0,0.687036,0.499278,0.571179,479.0
3,0.702068,0.0,0.597363,0.508124,0.603692,294.0
4,0.649276,0.0,0.535423,2.057143,1.326594,425.0
Mean,0.712619,0.0,0.599848,1.089101,0.866192,436.8
