fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.404954,0.0,0.341045,0.279605,0.442637,504.0
1,0.140013,0.00204,0.119107,0.913814,0.92447,483.0
2,0.428078,0.0,0.354431,0.277682,0.439068,478.0
3,0.380264,0.0,0.374311,0.284069,0.451327,402.0
4,0.144464,0.001632,0.127518,0.888283,0.908345,473.0
Mean,0.299555,0.000734,0.263282,0.528691,0.633169,468.0
