Column_name,Type
smiles,Y_val
quantified_toxicity,Y_val
Formulation,Metadata
Cationic_Lipid_Mol_Ratio,X_val
Phospholipid_Mol_Ratio,X_val
Cholesterol_Mol_Ratio,X_val
PEG_Lipid_Mol_Ratio,X_val
Helper_lipid_ID,Metadata
Cationic_Lipid_to_mRNA_weight_ratio,X_val
Dosage,X_val
Comment,Metadata
Lipid_name,Metadata
Num_tails,X_val
Num_carbon_in_tail,X_val
MolWt,X_val
Experiment_ID,Metadata
Purity,Metadata
Mix_type,Metadata
Cargo_type,Metadata
Experimenter_ID,Metadata
Model_type,Metadata
Exposure_time,X_val
Target_or_delivered_gene,Metadata
Delivery_target,Metadata
Route_of_administration,Metadata
Experiment_weight,Metadata
Library_ID,Metadata
Goal,Metadata
Batch_or_individual_or_barcoded,Metadata
Value_name,Metadata
screen_id,Metadata
Sample_weight,Sample_weight
quantified_delivery,Y_val
identifier,Metadata
Mol,Metadata
Num tails,Metadata
Helper_lipid_ID_DOPE,X_val
Helper_lipid_ID_DSPC,X_val
Cargo_type_mRNA,X_val
Cargo_type_siRNA,X_val
Model_type_HeLa,X_val
Model_type_HepG2,X_val
Model_type_IGROV1,X_val
