smiles,quantified_delivery,unnormalized_delivery,quantified_toxicity,unnormalized_toxicity,Formulation,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Dosage,Comment,Lipid_name,Num_tails,Num_carbon_in_tail,MolWt,Experiment_ID,Purity,Mix_type,Cargo_type,Experimenter_ID,Model_type,Exposure_time,Delivery_target,Route_of_administration,Experiment_weight,Library_ID,Goal,Batch_or_individual_or_barcoded,Value_name,screen_id,Sample_weight,identifier,Mol,Num tails,Helper_lipid_ID_DOPE,Helper_lipid_ID_DSPC,Cargo_type_mRNA,Cargo_type_siRNA,Model_type_HeLa,Model_type_HepG2,Model_type_IGROV1,split_name_for_normalization
CCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCC)c1,,,1.0,101.79666666666668,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a3-6b,3.0,5.0,591.8340000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)C(=O)Oc1cc(OC(=O)C(C)CCCCC)c(CNCCN(C)CCN)c(OC(=O)C(C)CCCCC)c1,,,1.0,100.75333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a3-7b,3.0,6.0,633.9150000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)C(=O)Oc1cc(OC(=O)C(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)C(CC)CCCC)c1,,,1.0,100.77075223333333,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a3-7b2,3.0,5.0,633.9150000000002,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)CCC(=O)Oc1cc(OC(=O)CCC(C)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(C)CCCC)c1,,,1.0,100.90666666666664,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a3-8b,3.0,7.0,675.9960000000001,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)CCC(=O)Oc1cc(OC(=O)CCC(CC)CCCC)c(CNCCN(C)CCN)c(OC(=O)CCC(CC)CCCC)c1,,,1.0,103.24333333333334,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,1-a3-9b2,3.0,7.0,718.077,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCC)c1,,,1.0,101.11666666666667,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-6,2.0,6.0,491.7170000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCC)c1,,,1.0,102.56666666666666,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-6b,2.0,5.0,491.7170000000004,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCCCC(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)CCCCCCC)c1,,,0.9942666666666667,99.42666666666668,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-7,2.0,7.0,519.7710000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCCC(C)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(C)CCCCC)c1,,,0.9853000000000001,98.53,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-7b,2.0,6.0,519.7710000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
CCCCC(CC)C(=O)Oc1cc(CNCCCN(C)CCCN)cc(OC(=O)C(CC)CCCC)c1,,,1.0,100.86333333333332,Lxue,35.0,16.0,46.5,2.5,DOPE,10.0,10.0,Tox,2-a2-7b2,2.0,5.0,519.7710000000005,Xue_CAD_LNP,Pure,Microfluidic,mRNA,lxue,HeLa,24,FLL,in_vitro,1.0,Xue_CAD_LNP,max,Barcoded,Cell_viability,Xue_CAD_LNP,1.0,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,Xue_CAD_LNP_Xue_CAD_LNP_FLL_HeLa_in_vitro
