fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.744335,0.52072,0.0,0.613699,0.483377,0.005181,0.037457,859
1,0.791924,0.605655,0.0,0.599636,0.466535,0.004987,0.039238,859
2,0.775802,0.581989,0.0,0.611204,0.480408,0.004737,0.036233,852
3,0.689394,0.336474,0.0,0.417805,0.33531,0.008072,0.065057,863
4,0.807015,0.61726,0.0,0.605862,0.477622,0.003939,0.034837,863
