fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.77457,0.0,0.683962,0.524579,0.575835,474.0
1,0.657274,0.0,0.525725,1.481419,1.10141,512.0
2,0.746766,0.0,0.648235,0.629706,0.654981,479.0
3,0.721788,0.0,0.626972,0.44378,0.555486,294.0
4,0.669563,0.0,0.565637,1.404561,1.059674,425.0
Mean,0.713992,0.0,0.610106,0.896809,0.789477,436.8
