fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.600186,0.0,0.408723,1.275319,0.926459,474.0
1,0.453301,0.0,0.325073,1.906482,1.189627,512.0
2,0.217379,2e-06,0.208761,2.267048,1.300119,479.0
3,0.328306,0.0,0.225289,1.389218,1.018507,294.0
4,0.423931,0.0,0.34669,1.74991,1.09996,425.0
Mean,0.404621,0.0,0.302907,1.717595,1.106934,436.8
