fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.501418,0.0,0.488518,0.277946,0.436503,2693.0
1,0.405552,0.0,0.414016,0.318209,0.458641,2672.0
2,0.335099,0.0,0.353837,0.336504,0.496652,2585.0
3,0.547305,0.0,0.536982,0.255767,0.408087,2004.0
4,0.409897,0.0,0.391802,0.35278,0.467951,2426.0
Mean,0.439854,0.0,0.437031,0.308241,0.453567,2476.0
