fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.046998,0.292309,0.030615,0.71444,0.714592,504.0
1,-0.089301,0.04983,-0.059919,0.723949,0.709027,483.0
2,-0.084072,0.066279,-0.074255,0.979134,0.873977,478.0
3,0.19561,7.9e-05,0.167852,0.529223,0.580273,402.0
4,-0.080605,0.079902,-0.030586,1.167517,0.97174,473.0
Mean,-0.002274,0.09768,0.006741,0.822853,0.769922,468.0
