fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.756036,0.0,0.753606,0.139633,0.298467,2693.0
1,0.614034,0.0,0.614748,0.20926,0.390179,2672.0
2,0.746738,0.0,0.752088,0.151738,0.313604,2585.0
3,0.785255,0.0,0.77812,0.125871,0.285026,2004.0
4,0.525902,0.0,0.521802,0.272216,0.460417,2426.0
Mean,0.685593,0.0,0.684073,0.179744,0.349539,2476.0
