fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.809345,0.0,0.708447,0.468159,0.549192,474.0
1,0.68857,0.0,0.559218,1.121642,0.929105,512.0
2,0.799421,0.0,0.693979,0.48587,0.567336,479.0
3,0.676095,0.0,0.565545,0.551356,0.626914,294.0
4,0.630817,0.0,0.505114,2.798102,1.56603,425.0
Mean,0.72085,0.0,0.606461,1.085026,0.847715,436.8
