fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.418762,0.0,0.360758,0.259463,0.421624,504.0
1,0.258778,0.0,0.23601,0.613786,0.73406,483.0
2,0.431557,0.0,0.359423,0.269225,0.431202,478.0
3,0.363066,0.0,0.353311,0.310172,0.475471,402.0
4,0.074724,0.104568,0.084294,1.120412,1.033729,473.0
Mean,0.309377,0.020914,0.278759,0.514612,0.619217,468.0
