fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.785776,-123.25807,0.0,0.625059,0.486689,1.680539,0.923696,206
1,0.757382,-123.746364,0.0,0.616122,0.466433,1.687143,0.928049,206
2,0.712324,-124.521256,0.0,0.630561,0.473965,1.697623,0.970135,206
3,0.740625,-124.03455,0.0,0.614417,0.482617,1.691041,0.921834,206
4,0.784778,-123.275228,0.0,0.584224,0.442921,1.680771,0.922384,206
