fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.900237,0.781404,0.0,0.870639,0.705078,0.208945,0.35698,3671
1,0.789317,0.431616,0.0,0.746451,0.565004,0.559599,0.612483,3667
2,0.901659,0.782239,0.0,0.879234,0.715972,0.214769,0.366401,3542
3,0.901121,0.765705,0.0,0.886048,0.712167,0.186852,0.339187,2700
4,0.796676,0.424946,0.0,0.750252,0.566348,0.566371,0.61317,3324
