fold,pearson,r2,pearson_p_val,spearman,kendall,mse,mae,n_vals
0,0.810452,0.531307,0.0,0.794495,0.601768,0.456388,0.553154,1080
1,0.828119,0.658837,0.0,0.806447,0.616628,0.348812,0.470391,1140
2,0.917685,0.841468,0.0,0.9036,0.740435,0.16505,0.31194,1131
3,0.924016,0.852477,0.0,0.910138,0.753947,0.143355,0.29045,1024
4,0.764408,0.171856,0.0,0.743818,0.550945,0.787105,0.721723,1173
