fold,pearson,r2,spearman,rmse,n_vals,note
0,0.2789521312905109,-0.004667109338403641,0.17863532115706893,0.03889128042157291,55.0,
1,0.3542616986682276,0.08848816421129246,0.25286830240388497,0.037127372567446845,56.0,
2,0.03470547733083837,-0.2796966329113746,0.024630638028709895,0.04457970107553785,54.0,
3,0.18439249408245406,-0.036725013004627716,0.26578428650138625,0.03896148728989125,53.0,
4,0.3698782211537371,0.12116098201058711,0.2989814002642959,0.036752301377573876,58.0,
Mean,0.2444380045051536,-0.022287921806505274,0.2041799896710692,0.03926242854640454,55.2,
