fold,pearson,r2,spearman,rmse,n_vals,note
0,0.6965638793599873,0.05612580610248119,0.5152896210084567,0.19459330470446526,44.0,
1,0.7297870988621777,0.10646684169004383,0.5221849643385988,0.19808830581208237,47.0,
2,0.7117160996999659,0.03126997472858273,0.5924857845851154,0.21519293622274915,45.0,
3,0.717708604947427,0.1031183497310747,0.614490133693424,0.1978564960719106,47.0,
4,0.7177466132491311,0.20868096326160324,0.5952536394264573,0.16878283475339734,41.0,
Mean,0.7147044592237377,0.10113238710275714,0.5679408286104104,0.19490277551292096,44.8,
