fold,pearson,r2,spearman,rmse,n_vals,note
0,0.8900851797417255,0.6225555753313537,0.9214061651242135,0.08397109428675284,24.0,
1,0.8793660204156115,0.48658201010790725,0.8671976162781293,0.10761905509877291,24.0,
2,0.8985917920658781,0.4379487593916176,0.8353262832927763,0.11945329321009536,16.0,
3,0.8801390882662091,0.5592771908613802,0.8943316711726962,0.09667322374836206,24.0,
4,0.8825936026172219,0.5211009062384797,0.8942362355064348,0.10419679099376226,24.0,
Mean,0.8861551366213293,0.5254928883861478,0.8824995942748501,0.10238269146754908,22.4,
