fold,pearson,r2,spearman,rmse,n_vals,note
0,0.9544866839514253,0.7860588317733916,0.930943396101381,0.057158677429377844,57.0,
1,0.9487815114773888,0.6951550201182957,0.8757231532492875,0.07570733895642194,57.0,
2,0.9391827912570512,0.7191857494464604,0.8654976254320441,0.07104618255188258,66.0,
3,0.9245740624821026,0.7806649100408897,0.8478499479804084,0.06072490765535699,60.0,
4,0.9351183699106561,0.679521521943644,0.8651131284823543,0.07107558371400878,60.0,
Mean,0.9404286838157248,0.7321172066645363,0.877025450249095,0.06714253806140963,60.0,
