fold,pearson,r2,spearman,rmse,n_vals,note
0,0.6701772581377228,-0.35409647922064114,0.518196052162584,0.06155026189924854,30.0,
1,0.6924234449601386,0.03273577627429147,0.5144132195374783,0.07217242630709485,21.0,
2,0.7274038323367013,0.1389404616407789,0.5644007404127701,0.07211778387703874,30.0,
3,0.7033534382504624,0.09595746083329248,0.5135139630411275,0.07378408130256754,30.0,
4,0.8065142019669791,0.20775562471336084,0.6724623096937925,0.07008987754100578,29.0,
Mean,0.7199744351304008,0.024258568848216512,0.5565972569695505,0.06994288618539109,28.0,
