fold,pearson,r2,spearman,rmse,n_vals,note
0,0.2757584947111153,-0.012722659236962475,0.2797575142151686,0.02331407379565354,369.0,
1,0.25083383059603265,-0.021177391206609997,0.24503477368575957,0.021852210965470163,366.0,
2,0.21133018968365716,-0.02842568117238886,0.23074469231776346,0.02301972480729049,367.0,
3,0.24891257122688645,-0.03674288945148074,0.2619331819049154,0.023529098760750194,371.0,
4,0.35042575743283355,0.08494113290747807,0.30569701736704186,0.02171391772138838,367.0,
Mean,0.267452168730105,-0.0028254976319928016,0.26463343589812977,0.022685805210110554,368.0,
