fold,pearson,r2,pearson_p_val,spearman,kendall,rmse,n_vals
0,0.8124446061981003,0.577069950876422,2.555926690589178e-213,0.5916531825367388,0.4734351243762071,0.061856744910605985,903
1,0.814260496496945,0.5764109620189679,5.000550029139813e-215,0.5859586493165609,0.4647549444320164,0.06658457453047491,903
2,0.7998503346744025,0.5298816010237046,2.085270809332385e-200,0.5666175849595046,0.44991938291053674,0.0686905254001748,896
3,0.810580180942422,0.5680852767448659,1.6292547806480612e-212,0.573392814330634,0.45721704429250415,0.06727732129659979,907
4,0.8176856594295806,0.5967899834679588,2.913042142087664e-219,0.5845555527437336,0.4643293329794346,0.059481417988333014,907
