fold,pearson,pearson_p_val,spearman,kendall,rmse,n_vals
0,0.7639309483247937,1.4796918580866984e-64,0.5777690715192833,0.4487145751291847,0.05985247148656658,331
1,0.7846835651939711,2.002534249146079e-88,0.590574408497043,0.46072048331462667,0.052168414330507486,418
2,0.7731845135106387,2.6539505845539627e-84,0.5595502117747476,0.43075558730849967,0.05351743564743641,418
3,0.7735867469758941,1.9222907773738757e-84,0.566677250109824,0.4386511184436316,0.053467617465664474,418
4,0.7797267770373298,1.2854378599505278e-86,0.54127677448743,0.420220175623303,0.05332462356420677,418
