epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,2,,,0.4111413061618805,0.45945611596107483,0.21109990775585175
0,2,0.33626091480255127,,,,
1,5,,,0.2578192949295044,0.3310773968696594,0.10961224883794785
1,5,0.16385698318481445,,,,
2,8,,,0.22941111028194427,0.2536654770374298,0.06434618681669235
2,8,0.08261930197477341,,,,
3,11,,,0.1834237426519394,0.25157538056373596,0.06329017132520676
3,11,0.0657515600323677,,,,
4,14,,,0.19842030107975006,0.2444096952676773,0.05973609909415245
4,14,0.062818244099617,,,,
5,17,,,0.20407377183437347,0.23382964730262756,0.05467630922794342
5,17,0.05230536311864853,,,,
6,20,,,0.1837761551141739,0.23763877153396606,0.056472182273864746
6,20,0.052831850945949554,,,,
7,23,,,0.18509243428707123,0.24183599650859833,0.05848466232419014
7,23,0.04816050827503204,,,,
8,26,,,0.18851180374622345,0.23461170494556427,0.05504264682531357
8,26,0.04966365173459053,,,,
9,29,,,0.18371085822582245,0.23116597533226013,0.053437698632478714
9,29,0.045998964458703995,,,,
10,32,,,0.18450450897216797,0.22904035449028015,0.0524594821035862
10,32,0.044877223670482635,,,,
11,35,,,0.18067459762096405,0.2333412617444992,0.054448142647743225
11,35,0.046369489282369614,,,,
12,38,,,0.1819171905517578,0.22843587398529053,0.05218294635415077
12,38,0.04559534415602684,,,,
13,41,,,0.18487195670604706,0.2282969355583191,0.05211949348449707
13,41,0.04399462044239044,,,,
14,44,,,0.18448643386363983,0.23759327828884125,0.05645056068897247
14,44,0.042966220527887344,,,,
15,47,,,0.1827467530965805,0.22788940370082855,0.05193358659744263
15,47,0.04111418500542641,,,,
16,49,,0.04440414160490036,,,
16,50,,,0.18095751106739044,0.22697918117046356,0.051519546657800674
16,50,0.040548574179410934,,,,
17,53,,,0.17893756926059723,0.22939950227737427,0.05262412875890732
17,53,0.04066523164510727,,,,
18,56,,,0.17869172990322113,0.22312667965888977,0.049785517156124115
18,56,0.03940810635685921,,,,
19,59,,,0.17538994550704956,0.22381006181240082,0.050090935081243515
19,59,0.03866077959537506,,,,
20,62,,,0.17101889848709106,0.22265394032001495,0.049574777483940125
20,62,0.03820916637778282,,,,
21,65,,,0.17167767882347107,0.21920932829380035,0.048052724450826645
21,65,0.037722643464803696,,,,
22,68,,,0.16610372066497803,0.22438746690750122,0.05034973472356796
22,68,0.03540126234292984,,,,
23,71,,,0.16959719359874725,0.2166857123374939,0.04695269092917442
23,71,0.03572746738791466,,,,
24,74,,,0.1682232916355133,0.21769081056118011,0.047389283776283264
24,74,0.034783825278282166,,,,
25,77,,,0.16780385375022888,0.21916580200195312,0.04803365096449852
25,77,0.036692019551992416,,,,
26,80,,,0.1681160032749176,0.21717733144760132,0.04716598987579346
26,80,0.036079421639442444,,,,
27,83,,,0.16950520873069763,0.2263387143611908,0.05122920498251915
27,83,0.03501467779278755,,,,
28,86,,,0.1745089888572693,0.22109903395175934,0.0488847941160202
28,86,0.033719681203365326,,,,
29,89,,,0.17151249945163727,0.22958222031593323,0.05270799621939659
29,89,0.03457777574658394,,,,
30,92,,,0.1733439862728119,0.22206486761569977,0.049312807619571686
30,92,0.03398752212524414,,,,
31,95,,,0.16679252684116364,0.23050883412361145,0.05313431844115257
31,95,0.03119494393467903,,,,
32,98,,,0.16588164865970612,0.23397955298423767,0.05474643409252167
32,98,0.032044872641563416,,,,
33,99,,0.02987617626786232,,,
33,101,,,0.17158599197864532,0.21944841742515564,0.04815760999917984
33,101,0.03132049739360809,,,,
34,104,,,0.17014822363853455,0.2217225283384323,0.04916088283061981
34,104,0.031823549419641495,,,,
35,107,,,0.16471198201179504,0.23774191737174988,0.0565212108194828
35,107,0.03167608752846718,,,,
36,110,,,0.1670045405626297,0.22793228924274445,0.05195313319563866
36,110,0.031057210639119148,,,,
37,113,,,0.16976787149906158,0.2204166203737259,0.048583485186100006
37,113,0.028398513793945312,,,,
38,116,,,0.1669275313615799,0.2291537970304489,0.052511464804410934
38,116,0.030498022213578224,,,,
39,119,,,0.16314159333705902,0.2369113266468048,0.056126974523067474
39,119,0.030214715749025345,,,,
40,122,,,0.16593874990940094,0.22611884772777557,0.05112973600625992
40,122,0.030262857675552368,,,,
41,125,,,0.16892217099666595,0.22216762602329254,0.04935846105217934
41,125,0.028957361355423927,,,,
42,128,,,0.16686224937438965,0.22548159956932068,0.05084194988012314
42,128,0.027810491621494293,,,,
43,131,,,0.1642601490020752,0.23471148312091827,0.05508948490023613
43,131,0.028706423938274384,,,,
44,134,,,0.16682705283164978,0.2287219911813736,0.05231374129652977
44,134,0.029374094679951668,,,,
45,137,,,0.16656158864498138,0.22712798416614532,0.05158712714910507
45,137,0.028025539591908455,,,,
46,140,,,0.16704033315181732,0.2253686636686325,0.050791025161743164
46,140,0.027353346347808838,,,,
47,143,,,0.1659431904554367,0.2255745232105255,0.05088386312127113
47,143,0.02898564375936985,,,,
48,146,,,0.16408005356788635,0.2260199785232544,0.051085032522678375
48,146,0.028853822499513626,,,,
49,149,,0.023388421162962914,,,
49,149,,,0.16293272376060486,0.22882361710071564,0.05236024037003517
49,149,0.027755696326494217,,,,
