CAD LNP No.,viability
1,100.64
2,102.65666666666668
3,100.85333333333334
4,98.50333333333333
5,100.59333333333332
6,103.85666666666667
7,99.58333333333333
8,100.73
9,102.96333333333332
10,100.97000000000001
11,101.79666666666667
12,100.75333333333333
13,100.77075223333333
14,100.90666666666665
15,103.24333333333334
16,101.11666666666667
17,102.56666666666666
18,99.42666666666668
19,98.52999999999999
20,100.86333333333333
21,95.37
22,96.94
23,102.27999999999999
24,100.23
25,99.49333333333334
26,97.83666666666666
27,97.27666666666666
28,95.47333333333334
29,98.24666666666667
30,98.13
31,101.07000000000001
32,104.19666666666666
33,99.71333333333332
34,97.82000000000001
35,102.57333333333334
36,101.62
37,96.89
38,94.44333333333334
39,97.02333333333333
40,92.61333333333333
41,90.51666666666667
42,92.67666666666666
43,93.88
44,93.08333333333333
45,89.46
46,89.56333333333333
47,96.92
48,91.76666666666667
49,104.55666666666666
50,100.87
51,97.48666666666666
52,96.90666666666668
53,102.33999999999999
54,92.32333333333334
55,102.18333333333334
56,99.20666666666666
57,100.96666666666665
58,93.23666666666666
59,97.24666666666667
60,96.78333333333335
61,106.52
62,107.07
63,100.42333333333333
64,100.83666666666666
65,97.20666666666666
66,96.57
67,92.56666666666666
68,100.08333333333333
69,93.12
70,96.30333333333333
71,102.14999999999999
72,101.86999999999999
73,98.68333333333332
74,95.12666666666667
75,98.58666666666666
76,100.26666666666665
77,96.04
78,98.03666666666668
79,97.49333333333334
80,95.95
81,93.48333333333333
82,91.42999999999999
83,99.2
84,103.41333333333334
85,107.11333333333334
86,104.45
87,100.58
88,106.26666666666665
89,105.38333333333333
90,99.33666666666666
91,100.69666666666666
92,96.34666666666668
93,97.19333333333333
94,93.58333333333333
95,102.16666666666667
96,104.56666666666666
97,93.53666666666668
98,93.94666666666666
99,97.62666666666667
100,96.84333333333332
101,100.52
102,98.46666666666665
103,98.62
104,98.05666666666667
105,98.27666666666666
106,100.54
107,97.42333333333333
108,98.23333333333333
109,100.50333333333333
110,100.32333333333334
111,103.23666666666666
112,101.37666666666667
113,100.05333333333334
114,99.84666666666668
115,99.52
116,98.67
117,97.55666666666666
118,100.36666666666666
119,101.92999999999999
120,101.68333333333334
