identifier,full,smiles
1,CN(CCN)CCN,CN(CCN)CCN[*]
2,CN(CCCN)CCCN,CN(CCCN)CCCN[*]
3,NCCN1CCN(CCN)CC1,NCCN1CCN(CCN)CC1
4,NCCCN1CCN(CCCN)CC1,NCCCN1CCN(CCCN)CC1
5,CN(C)CCN,CN(C)CCN[*]
6,CN(C)CCCN,CN(C)CCCN[*]
7,CCN(CC)CCN,CCN(CC)CCN[*]
8,CCN(CC)CCCN,CCN(CC)CCCN[*]
9,CN1CCN(CCN)CC1,CN1CCN(CCN)CC1
10,CN1CCN(CCCN)CC1,CN1CCN(CCCN)CC1
11,NCCCN,NCCCN[*]
12,NCCN(CCN)CCN,NCCN(CCN)CCN[*]

a3-6b,,
a3-7b,,
a3-7b2,,
a3-8b,,
a3-9b2,,
