fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.582147,0.0,0.485298,0.13638,0.274302,284.0
1,0.549717,0.0,0.406748,0.195178,0.334961,268.0
2,0.563778,0.0,0.413213,0.160753,0.305665,280.0
3,0.555657,0.0,0.421135,0.15305,0.295697,283.0
4,0.439274,0.0,0.308965,0.324884,0.46568,281.0
Mean,0.538115,0.0,0.407072,0.194049,0.335261,279.2
