fold,pearson,pearson_p_val,spearman,mse,mae,n_vals
0,0.219251,0.220229,0.203209,0.088076,0.243534,33.0
1,0.178049,0.259274,0.146185,0.080002,0.234259,42.0
2,0.201073,0.254166,0.152342,0.070551,0.213043,34.0
3,0.347531,0.035067,0.305358,0.051033,0.179615,37.0
4,0.388205,0.023284,0.323631,0.05423,0.201674,34.0
Mean,0.266822,0.158404,0.226145,0.068778,0.214425,36.0
